;;INE PADRON;;;;;;AGENCIA TRIBUTARIA;
PROVINCIA;NOMBRE;POB19;HOMBRES;MUJERES;POB05;POB10;POB15;RENTA_BRUTA_MEDIA;RENTA_BRUTA_DISPONIBLE
Navarra;Cascante;3864;1937;1927;3,989;3999;3787;0;0
Navarra;Cáseda;974;489;485;1,037;1042;989;0;0
Navarra;Castejón;4163;2090;2073;221;200;158;0;0
Navarra;Castillonuevo;16;11;5;19;17;16;0;0
Navarra;Cendea de Olza/Oltza Zendea;1831;901;930;0;1635;1822;0;0
Navarra;Cintruénigo;7903;4071;3832;6,725;7740;7779;0;0
Navarra;Cirauqui/Zirauki;487;254;233;0;502;483;0;0
Navarra;Ciriza/Ziritza;155;72;83;0;0;131;0;0
Navarra;Cizur;3888;1999;1889;1,977;3366;3751;0;0
Navarra;Corella;7971;4007;3964;7,621;8076;7740;0;0
Navarra;Cortes;3151;1598;1553;3,329;3405;3192;0;0
Navarra;Desojo;79;44;35;119;102;81;0;0
Navarra;Dicastillo;604;305;299;696;691;637;0;0
Navarra;Donamaria;433;218;215;414;438;443;0;0
Navarra;Doneztebe/Santesteban;1726;880;846;1,504;1688;1658;0;0
Navarra;Echarri/Etxarri;75;36;39;0;0;0;0;0
Navarra;Elgorriaga;220;111;109;223;221;219;0;0
Navarra;Enériz/Eneritz;286;147;139;0;365;322;0;0
Navarra;Eratsun;151;92;59;178;159;150;0;0
Navarra;Ergoiena;372;202;170;445;432;397;0;0
Navarra;Erro;800;449;351;747;786;792;0;0
Navarra;Eslava;111;51;60;158;133;123;0;0
Navarra;Esparza de Salazar/Espartza Zaraitzu;74;40;34;0;91;87;0;0
Navarra;Espronceda;104;58;46;158;133;114;0;0
Navarra;Estella-Lizarra;13810;6608;7202;0;0;13702;0;0
Navarra;Esteribar;2702;1396;1306;1,591;2202;2598;0;0
Navarra;Etayo;58;31;27;94;92;72;0;0
Navarra;Etxalar;813;427;386;801;827;801;0;0
Navarra;Etxarri Aranatz;2483;1290;1193;0;0;2466;0;0
Navarra;Etxauri;650;331;319;486;595;586;0;0
Navarra;Eulate;284;158;126;349;337;303;0;0
Navarra;Ezcabarte;1805;944;861;1,490;1677;1834;0;0
Navarra;Ezcároz/Ezkaroze;306;166;140;363;343;323;0;0
Navarra;Ezkurra;146;95;51;200;163;154;0;0
Navarra;Ezprogui;43;23;20;62;52;47;0;0
Navarra;Falces;2315;1185;1130;2,603;2650;2390;0;0
Navarra;Fitero;2011;1005;1006;2,222;2332;2022;0;0
Navarra;Fontellas;996;501;495;828;925;961;0;0
Navarra;Funes;2440;1285;1155;2,358;2447;2471;0;0
Navarra;Fustiñana;2490;1236;1254;2,506;2598;2511;0;0
Navarra;Galar;2273;1193;1080;1,408;1740;2074;0;0
Navarra;Gallipienzo/Galipentzu;98;55;43;0;0;106;0;0
Navarra;Gallués/Galoze;93;63;30;118;101;103;0;0
Navarra;Garaioa;91;51;40;123;108;97;0;0
Navarra;Garde;139;83;56;185;172;157;0;0
Navarra;Garínoain;499;263;236;464;520;490;0;0
Navarra;Garralda;190;100;90;193;191;185;0;0
Navarra;Genevilla;70;43;27;112;91;75;0;0
Navarra;Goizueta;704;379;325;814;778;736;0;0
Navarra;Goñi;158;103;55;197;181;170;0;0
Navarra;Güesa/Gorza;38;22;16;65;53;43;0;0
Navarra;Guesálaz/Gesalatz;432;254;178;0;457;450;0;0
Navarra;Guirguillano;78;43;35;94;83;81;0;0
Navarra;Hiriberri/Villanueva de Aezkoa;102;54;48;135;124;119;0;0
Navarra;Huarte/Uharte;7101;3580;3521;4,247;6095;6776;0;0
Navarra;Ibargoiti;249;148;101;228;248;249;0;0
Navarra;Igantzi;639;339;300;617;632;618;0;0
Navarra;Igúzquiza;325;170;155;357;348;332;0;0
Navarra;Imotz;423;223;200;418;444;432;0;0
Navarra;Irañeta;172;91;81;158;157;172;0;0
Navarra;Irurtzun;2233;1153;1080;2,209;2230;2194;0;0
Navarra;Isaba/Izaba;395;196;199;481;492;473;0;0
Navarra;Ituren;511;259;252;473;502;515;0;0
Navarra;Iturmendi;403;208;195;380;400;388;0;0
Navarra;Iza/Itza;1235;666;569;0;1042;1171;0;0
Navarra;Izagaondoa;176;114;62;176;175;177;0;0
Navarra;Izalzu/Itzaltzu;40;23;17;46;48;51;0;0
Navarra;Jaurrieta;189;107;82;225;214;202;0;0
Navarra;Javier;110;28;82;77;106;103;0;0
Navarra;Juslapeña;563;308;255;502;588;553;0;0
Navarra;Lakuntza;1279;678;601;1,103;1219;1257;0;0
Navarra;Lana;169;98;71;213;199;176;0;0
Navarra;Lantz;148;88;60;119;109;151;0;0
Navarra;Lapoblación;120;68;52;163;154;127;0;0
Navarra;Larraga;2075;1088;987;2,007;2137;2034;0;0
Navarra;Larraona;102;49;53;136;112;112;0;0
Navarra;Larraun;951;522;429;1,081;999;985;0;0
Navarra;Lazagurría;189;97;92;207;210;206;0;0
Navarra;Leache/Leatxe;30;17;13;0;0;44;0;0
Navarra;Legarda;117;65;52;112;119;110;0;0
Navarra;Legaria;111;50;61;118;117;98;0;0
Navarra;Leitza;2913;1513;1400;2,953;2934;2888;0;0
Navarra;Lekunberri;1536;769;767;1,050;1432;1483;0;0
Navarra;Leoz/Leotz;220;142;78;0;272;241;0;0
Navarra;Lerga;55;35;20;76;83;73;0;0
Navarra;Lerín;1725;887;838;1,851;1890;1665;0;0
Navarra;Lesaka;2741;1407;1334;2,680;2822;2742;0;0
Navarra;Lezaun;242;146;96;0;0;0;0;0
Navarra;Liédena;292;144;148;339;328;303;0;0
Navarra;Lizoáin-Arriasgoiti;295;172;123;0;308;318;0;0
Navarra;Lodosa;4816;2442;2374;4,726;4966;4741;0;0
Navarra;Lónguida/Longida;298;159;139;324;313;306;0;0
Navarra;Lumbier;1318;716;602;1,409;1398;1349;0;0
Navarra;Luquin;132;70;62;139;141;135;0;0
Navarra;Luzaide/Valcarlos;329;178;151;435;407;377;0;0
Navarra;Mañeru;434;229;205;374;420;432;0;0
Navarra;Marañón;52;26;26;59;58;53;0;0
Navarra;Marcilla;2858;1447;1411;2,674;2838;2800;0;0
Navarra;Mélida;733;374;359;762;769;729;0;0
Navarra;Mendavia;3547;1824;1723;3,757;3796;3597;0;0
Navarra;Mendaza;287;149;138;340;333;311;0;0
Navarra;Mendigorría;1086;563;523;1,055;1076;1055;0;0
Navarra;Metauten;288;156;132;287;286;291;0;0
Navarra;Milagro;3416;1773;1643;3,061;3414;3290;0;0
Navarra;Mirafuentes;57;28;29;53;45;56;0;0
Navarra;Miranda de Arga;839;437;402;997;951;847;0;0
Navarra;Monreal/Elo;478;258;220;0;0;470;0;0
Navarra;Monteagudo;1092;545;547;1,132;1145;1097;0;0
Navarra;Morentin;129;62;67;157;139;129;0;0
Navarra;Mues;75;43;32;101;95;88;0;0
Navarra;Murchante;4154;2096;2058;3,321;3753;3842;0;0
Navarra;Murieta;335;177;158;282;353;353;0;0
Navarra;Murillo el Cuende;665;343;322;666;631;654;0;0
Navarra;Murillo el Fruto;639;346;293;746;714;634;0;0
Navarra;Muruzábal;233;101;132;296;289;266;0;0
Navarra;Navascués/Nabaskoze;132;80;52;0;0;151;0;0
Navarra;Nazar;34;20;14;56;51;45;0;0
Navarra;Noáin (Valle de Elorz)/Noain (Elortzibar);8320;4185;4135;4,496;7119;7892;0;0
Navarra;Obanos;935;467;468;885;946;904;0;0
Navarra;Ochagavía/Otsagabia;521;281;240;0;626;560;0;0
Navarra;Oco;77;39;38;76;69;64;0;0
Navarra;Odieta;362;202;160;336;345;370;0;0
Navarra;Oiz;129;79;50;0;0;141;0;0
Navarra;Olaibar;378;220;158;198;232;316;0;0
Navarra;Olazti/Olazagutía;1489;753;736;1,730;1719;1520;0;0
Navarra;Olejua;50;27;23;54;55;49;0;0
Navarra;Olite/Erriberri;3946;2001;1945;0;3722;3907;0;0
Navarra;Olóriz/Oloritz;203;115;88;0;185;195;0;0
Navarra;Orbaizeta;195;97;98;0;0;202;0;0
Navarra;Orbara;33;17;16;56;48;42;0;0
Navarra;Orísoain;79;43;36;87;86;92;0;0
Navarra;Orkoien;4057;2057;2000;0;3511;3770;0;0
Navarra;Oronz/Orontze;47;24;23;0;53;46;0;0
Navarra;Oroz-Betelu/Orotz-Betelu;146;85;61;0;169;153;0;0
Navarra;Orreaga/Roncesvalles;22;12;10;24;24;32;0;0
Navarra;Oteiza;918;489;429;933;963;928;0;0
Navarra;Pamplona/Iruña;201653;95316;106337;193,328;197488;195853;0;0
Navarra;Peralta/Azkoien;5893;2979;2914;0;6066;5863;0;0
Navarra;Petilla de Aragón;31;17;14;33;23;34;0;0
Navarra;Piedramillera;37;24;13;60;54;39;0;0
Navarra;Pitillas;484;242;242;584;562;511;0;0
Navarra;Puente la Reina/Gares;2840;1424;1416;2,611;2867;2818;0;0
Navarra;Pueyo;351;192;159;334;339;340;0;0
Navarra;Ribaforada;3750;1953;1797;3,437;3617;3692;0;0
Navarra;Romanzado;175;92;83;151;158;173;0;0
Navarra;Roncal/Erronkari;211;108;103;303;254;227;0;0
Navarra;Sada;133;75;58;12,867;14734;15080;25707;21011
Navarra;Saldías;122;68;54;122;116;116;0;0
Navarra;Salinas de Oro/Jaitz;109;62;47;0;120;117;0;0
Navarra;San Adrián;6292;3116;3176;5,968;6293;6196;0;0
Navarra;San Martín de Unx;392;207;185;438;455;372;0;0
Navarra;Sangüesa/Zangoza;4962;2519;2443;5,041;5248;5020;0;0
Navarra;Sansol;102;55;47;113;109;100;0;0
Navarra;Santacara;874;456;418;1,009;943;891;0;0
Navarra;Sarriés/Sartze;58;38;20;81;68;63;0;0
Navarra;Sartaguda;1315;677;638;1,340;1398;1372;0;0
Navarra;Sesma;1164;596;568;1,360;1264;1183;0;0
Navarra;Sorlada;57;35;22;40;68;61;0;0
Navarra;Sunbilla;675;347;328;670;670;648;0;0
Navarra;Tafalla;10595;5224;5371;10,924;11413;10809;0;0
Navarra;Tiebas-Muruarte de Reta;606;315;291;501;649;617;0;0
Navarra;Tirapu;40;25;15;60;58;51;0;0
Navarra;Torralba del Río;103;55;48;131;131;118;0;0
Navarra;Torres del Río;126;62;64;171;153;129;0;0
Navarra;Tudela;36258;17840;18418;32,345;35268;35388;0;0
Navarra;Tulebras;128;51;77;102;124;118;0;0
Navarra;Ucar;184;102;82;157;160;182;0;0
Navarra;Uharte Arakil;805;429;376;0;0;840;0;0
Navarra;Ujué/Uxue;182;104;78;0;0;0;0;0
Navarra;Ultzama;1653;851;802;1,613;1694;1666;0;0
Navarra;Unciti;211;120;91;223;225;219;0;0
Navarra;Unzué/Untzue;144;78;66;0;0;124;0;0
Navarra;Urdazubi/Urdax;349;170;179;367;361;402;0;0
Navarra;Urdiain;653;335;318;620;710;681;0;0
Navarra;Urraul Alto;133;87;46;173;157;152;0;0
Navarra;Urraul Bajo;322;140;182;289;295;294;0;0
Navarra;Urroz;183;103;80;379;0;186;0;0
Navarra;Urroz-Villa;377;194;183;0;393;408;0;0
Navarra;Urzainqui/Urzainki;84;54;30;0;92;95;0;0
Navarra;Uterga;153;88;65;170;187;174;0;0
Navarra;Uztárroz/Uztarroze;151;79;72;220;184;154;0;0
Navarra;Valle de Egüés/Eguesibar;21128;10611;10517;0;0;0;0;0
Navarra;Valle de Ollo/Ollaran;421;233;188;0;0;0;0;0
Navarra;Valle de Yerri/Deierri;1506;790;716;0;1557;1497;0;0
Navarra;Valtierra;2412;1216;1196;2,415;2562;2443;0;0
Navarra;Viana;4209;2130;2079;3,596;3937;4048;0;0
Navarra;Vidángoz/Bidankoze;90;51;39;114;100;94;0;0
Navarra;Villafranca;2847;1438;1409;2,802;2997;2805;0;0
Navarra;Villamayor de Monjardín;119;61;58;140;137;128;0;0
Navarra;Villatuerta;1191;597;594;990;1099;1137;0;0
Navarra;Villava/Atarrabia;10204;4965;5239;10,236;10568;10265;0;0
Navarra;Yesa;292;172;120;263;256;285;0;0
Navarra;Zabalza/Zabaltza;297;160;137;0;266;276;0;0
Navarra;Ziordia;348;182;166;361;392;389;0;0
Navarra;Zizur Mayor/Zizur Nagusia;14894;7256;7638;13,052;13316;14493;0;0
Navarra;Zubieta;303;157;146;299;315;323;0;0
Navarra;Zugarramurdi;219;108;111;233;212;227;0;0
Navarra;Zúñiga;109;69;40;178;120;116;0;0
Ourense;Allariz;6188;3109;3079;5,351;5910;6049;22531;18529
Ourense;Amoeiro;2280;1140;1140;2,356;2300;2245;18714;1605
Ourense;Arnoia, A;1000;497;503;0;0;1040;0;0
Ourense;Avión;1795;825;970;2,780;2561;1962;14333;12878
Ourense;Baltar;962;521;441;1,177;1114;1002;13467;1214
Ourense;Bande;1528;748;780;2,285;2083;1735;1498;13442
Ourense;Baños de Molgas;1519;761;758;2,014;1807;1658;0;0
Ourense;Barbadás;11037;5367;5670;7,939;9468;10463;20107;17136
Ourense;Barco de Valdeorras, O;13395;6512;6883;0;0;13785;0;0
Ourense;Beade;397;207;190;559;515;451;0;0
Ourense;Beariz;971;431;540;1,397;1285;1016;15207;13475
Ourense;Blancos, Os;766;411;355;0;0;878;0;0
Ourense;Boborás;2285;1091;1194;3,200;2942;2510;13644;12298
Ourense;Bola, A;1156;545;611;0;0;1339;0;0
Ourense;Bolo, O;884;448;436;0;0;988;0;0
Ourense;Calvos de Randín;770;383;387;1,195;1065;922;0;0
Ourense;Carballeda de Avia;1286;627;659;1,591;1523;1400;0;0
Ourense;Carballeda de Valdeorras;1545;793;752;2,041;1866;1698;0;0
Ourense;Carballiño, O;14027;6505;7522;0;0;13999;0;0
Ourense;Cartelle;2642;1298;1344;3,552;3344;2852;15139;13558
Ourense;Castrelo de Miño;1349;683;666;2,036;1870;1556;0;0
Ourense;Castrelo do Val;984;499;485;1,247;1199;1079;0;0
Ourense;Castro Caldelas;1224;625;599;1,769;1572;1351;0;0
Ourense;Celanova;5649;2676;2973;6,150;5949;5536;17812;15309
Ourense;Cenlle;1120;561;559;1,560;1396;1189;17785;15221
Ourense;Chandrexa de Queixa;456;259;197;807;639;528;0;0
Ourense;Coles;3050;1536;1514;3,263;3217;3168;18173;15515
Ourense;Cortegada;1085;539;546;1,401;1330;1184;15989;14019
Ourense;Cualedro;1679;866;813;2,234;2041;1840;13595;12275
Ourense;Entrimo;1140;538;602;1,377;1372;1251;14506;12956
Ourense;Esgos;1116;577;539;1,312;1212;1220;16239;14151
Ourense;Gomesende;732;356;376;1,101;968;829;0;0
Ourense;Gudiña, A;1254;638;616;0;0;1392;0;0
Ourense;Irixo, O;1466;716;750;0;0;1600;0;0
Ourense;Larouco;429;207;222;569;584;526;0;0
Ourense;Laza;1228;641;587;1,762;1570;1424;1509;13399
Ourense;Leiro;1568;763;805;1,931;1833;1630;14994;13385
Ourense;Lobeira;798;390;408;1,160;994;813;0;0
Ourense;Lobios;1708;863;845;2,420;2246;1988;15353;13434
Ourense;Maceda;2872;1408;1464;3,218;3153;2957;16366;14309
Ourense;Manzaneda;870;422;448;1,113;994;975;0;0
Ourense;Maside;2705;1337;1368;3,077;3062;2879;15748;13817
Ourense;Melón;1184;565;619;1,582;1463;1293;1425;12698
Ourense;Merca, A;1913;943;970;0;0;2021;0;0
Ourense;Mezquita, A;1023;530;493;0;0;1109;0;0
Ourense;Montederramo;711;368;343;1,137;961;807;0;0
Ourense;Monterrei;2529;1293;1236;3,128;3002;2758;14378;12934
Ourense;Muíños;1502;761;741;2,003;1824;1622;14956;13366
Ourense;Nogueira de Ramuín;1998;1020;978;2,551;2432;2124;0;0
Ourense;Oímbra;1712;934;778;1,963;2032;2020;15338;1366
Ourense;Ourense;105233;47695;57538;108,358;108673;106231;1287;11567
Ourense;Paderne de Allariz;1384;693;691;1,619;1604;1486;0;0
Ourense;Padrenda;1748;860;888;2,474;2297;1912;14232;12692
Ourense;Parada de Sil;538;287;251;761;670;605;0;0
Ourense;Pereiro de Aguiar, O;6275;3211;3064;0;0;6319;0;0
Ourense;Peroxa, A;1819;897;922;0;0;2038;0;0
Ourense;Petín;861;420;441;1,088;1032;953;0;0
Ourense;Piñor;1176;595;581;1,476;1386;1232;14152;12639
Ourense;Pobra de Trives, A;2067;1030;1037;0;0;2245;0;0
Ourense;Pontedeva;511;252;259;626;661;600;0;0
Ourense;Porqueira;815;397;418;1,102;1079;901;0;0
Ourense;Punxín;693;342;351;942;840;760;0;0
Ourense;Quintela de Leirado;619;274;345;814;751;629;0;0
Ourense;Rairiz de Veiga;1266;648;618;1,780;1673;1430;0;0
Ourense;Ramirás;1584;734;850;2,054;1897;1607;14637;132
Ourense;Ribadavia;5024;2459;2565;5,494;5490;5112;17816;15286
Ourense;Riós;1516;774;742;2,088;1863;1683;13406;12091
Ourense;Rúa, A;4314;2125;2189;0;0;4595;0;0
Ourense;Rubiá;1393;676;717;1,663;1583;1473;16687;146
Ourense;San Amaro;1089;537;552;1,355;1287;1170;0;0
Ourense;San Cibrao das Viñas;5405;2752;2653;3,973;4441;5036;0;0
Ourense;San Cristovo de Cea;2137;1050;1087;2,926;2692;2346;0;0
Ourense;San Xoán de Río;531;270;261;867;734;600;0;0
Ourense;Sandiás;1206;558;648;1,554;1416;1307;16662;14732
Ourense;Sarreaus;1162;574;588;1,800;1552;1283;14595;13087
Ourense;Taboadela;1429;734;695;1,690;1691;1514;17243;14984
Ourense;Teixeira, A;316;159;157;0;0;378;0;0
Ourense;Toén;2355;1209;1146;2,594;2656;2426;18521;15691
Ourense;Trasmiras;1286;651;635;1,778;1619;1410;13829;12291
Ourense;Veiga, A;889;453;436;0;0;946;0;0
Ourense;Verea;943;453;490;1,355;1238;1042;13686;12265
Ourense;Verín;13723;6580;7143;13,706;14633;14107;1952;16569
Ourense;Viana do Bolo;2886;1458;1428;3,575;3323;3037;0;0
Ourense;Vilamarín;1854;952;902;2,321;2175;2026;16513;14326
Ourense;Vilamartín de Valdeorras;1790;914;876;2,408;2072;1798;0;0
Ourense;Vilar de Barrio;1307;661;646;1,835;1645;1455;0;0
Ourense;Vilar de Santos;820;401;419;1,011;970;894;0;0
Ourense;Vilardevós;1846;948;898;2,569;2256;2170;13527;12216
Ourense;Vilariño de Conso;519;303;216;731;675;615;0;0
Ourense;Xinzo de Limia;9715;4744;4971;9,930;10245;10043;0;0
Ourense;Xunqueira de Ambía;1375;689;686;1,901;1733;1498;0;0
Ourense;Xunqueira de Espadanedo;745;370;375;1,017;948;818;0;0
Palencia;Abarca de Campos;44;27;17;46;38;43;0;0
Palencia;Abia de las Torres;165;89;76;182;178;184;0;0
Palencia;Aguilar de Campoo;6744;3262;3482;7,308;7221;7033;0;0
Palencia;Alar del Rey;934;454;480;1,152;1046;987;0;0
Palencia;Alba de Cerrato;87;47;40;99;101;84;0;0
Palencia;Amayuelas de Arriba;35;22;13;41;37;40;0;0
Palencia;Ampudia;605;310;295;685;609;640;0;0
Palencia;Amusco;423;237;186;500;448;440;0;0
Palencia;Antigüedad;363;191;172;406;409;391;0;0
Palencia;Arconada;41;25;16;50;47;44;0;0
Palencia;Astudillo;995;502;493;1,196;1117;1002;19367;16497
Palencia;Autilla del Pino;222;119;103;229;237;232;0;0
Palencia;Autillo de Campos;128;69;59;184;155;146;0;0
Palencia;Ayuela;52;33;19;68;64;58;0;0
Palencia;Baltanás;1191;623;568;1,420;1342;1273;18816;15998
Palencia;Baquerín de Campos;30;18;12;24;35;37;0;0
Palencia;Bárcena de Campos;59;26;33;62;56;63;0;0
Palencia;Barruelo de Santullán;1186;589;597;1,569;1479;1275;0;0
Palencia;Báscones de Ojeda;143;75;68;198;173;154;0;0
Palencia;Becerril de Campos;727;373;354;1,007;959;812;0;0
Palencia;Belmonte de Campos;30;15;15;34;32;33;0;0
Palencia;Berzosilla;40;21;19;63;50;47;0;0
Palencia;Boada de Campos;17;13;4;21;22;18;0;0
Palencia;Boadilla de Rioseco;107;61;46;149;134;126;0;0
Palencia;Boadilla del Camino;121;66;55;158;127;127;0;0
Palencia;Brañosera;271;147;124;291;262;247;0;0
Palencia;Buenavista de Valdavia;245;139;106;424;382;320;0;0
Palencia;Bustillo de la Vega;293;159;134;348;332;316;0;0
Palencia;Bustillo del Páramo de Carrión;60;37;23;79;70;64;0;0
Palencia;Calahorra de Boedo;90;44;46;124;108;94;0;0
Palencia;Calzada de los Molinos;330;183;147;371;355;347;0;0
Palencia;Capillas;75;40;35;105;94;79;0;0
Palencia;Cardeñosa de Volpejera;50;26;24;46;45;49;0;0
Palencia;Carrión de los Condes;2069;985;1084;2,340;2279;2177;0;0
Palencia;Castil de Vela;64;29;35;83;71;71;0;0
Palencia;Castrejón de la Peña;345;188;157;561;483;398;0;0
Palencia;Castrillo de Don Juan;207;117;90;299;266;234;0;0
Palencia;Castrillo de Onielo;98;52;46;146;119;114;0;0
Palencia;Castrillo de Villavega;174;96;78;244;204;196;0;0
Palencia;Castromocho;225;116;109;246;249;234;0;0
Palencia;Cervatos de la Cueza;280;153;127;330;316;300;0;0
Palencia;Cervera de Pisuerga;2333;1161;1172;2,676;2579;2442;0;0
Palencia;Cevico de la Torre;491;246;245;582;518;511;0;0
Palencia;Cevico Navero;194;110;84;246;238;196;0;0
Palencia;Cisneros;435;213;222;530;504;474;0;0
Palencia;Cobos de Cerrato;143;80;63;210;169;146;0;0
Palencia;Collazos de Boedo;102;60;42;153;131;115;0;0
Palencia;Congosto de Valdavia;153;91;62;234;190;184;0;0
Palencia;Cordovilla la Real;109;63;46;117;120;106;0;0
Palencia;Cubillas de Cerrato;61;36;25;78;73;61;0;0
Palencia;Dehesa de Montejo;133;78;55;182;157;136;0;0
Palencia;Dehesa de Romanos;50;30;20;43;40;34;0;0
Palencia;Dueñas;2612;1329;1283;3,055;2922;2741;21262;17708
Palencia;Espinosa de Cerrato;144;77;67;223;193;177;0;0
Palencia;Espinosa de Villagonzalo;172;91;81;221;224;201;0;0
Palencia;Frechilla;147;71;76;254;197;176;0;0
Palencia;Fresno del Río;189;93;96;185;194;205;0;0
Palencia;Frómista;767;401;366;896;816;822;0;0
Palencia;Fuentes de Nava;637;322;315;776;732;682;0;0
Palencia;Fuentes de Valdepero;451;237;214;232;295;419;0;0
Palencia;Grijota;2319;1214;1105;1,103;1703;2114;15681;13874
Palencia;Guardo;5995;2980;3015;7,941;7297;6547;25699;21027
Palencia;Guaza de Campos;60;37;23;66;61;61;0;0
Palencia;Hérmedes de Cerrato;80;42;38;121;102;87;0;0
Palencia;Herrera de Pisuerga;1966;959;1007;2,408;2348;2132;0;0
Palencia;Herrera de Valdecañas;161;90;71;178;154;147;0;0
Palencia;Hontoria de Cerrato;105;54;51;110;109;109;0;0
Palencia;Hornillos de Cerrato;141;81;60;122;111;137;0;0
Palencia;Husillos;320;181;139;215;235;290;0;0
Palencia;Itero de la Vega;152;90;62;207;180;179;0;0
Palencia;Lagartos;132;75;57;148;146;137;0;0
Palencia;Lantadilla;283;151;132;434;363;331;0;0
Palencia;Ledigos;64;31;33;89;76;64;0;0
Palencia;Loma de Ucieza;195;113;82;295;282;232;0;0
Palencia;Lomas;51;32;19;53;51;56;0;0
Palencia;Magaz de Pisuerga;1005;530;475;771;1024;975;0;0
Palencia;Manquillos;66;36;30;70;63;77;0;0
Palencia;Mantinos;141;79;62;168;145;156;0;0
Palencia;Marcilla de Campos;46;21;25;57;47;40;0;0
Palencia;Mazariegos;220;131;89;265;253;221;0;0
Palencia;Mazuecos de Valdeginate;98;61;37;117;114;98;0;0
Palencia;Melgar de Yuso;251;145;106;344;304;263;0;0
Palencia;Meneses de Campos;124;67;57;146;126;121;0;0
Palencia;Micieces de Ojeda;73;41;32;103;91;83;0;0
Palencia;Monzón de Campos;592;309;283;676;672;623;0;0
Palencia;Moratinos;65;37;28;76;69;60;0;0
Palencia;Mudá;86;47;39;100;98;94;0;0
Palencia;Nogal de las Huertas;41;21;20;60;47;44;0;0
Palencia;Olea de Boedo;40;15;25;44;41;36;0;0
Palencia;Olmos de Ojeda;197;120;77;294;252;213;0;0
Palencia;Osornillo;56;30;26;81;77;63;0;0
Palencia;Osorno la Mayor;1205;638;567;1,547;1454;1298;0;0
Palencia;Palencia;78412;36990;41422;81,439;82169;79595;14372;12952
Palencia;Palenzuela;206;116;90;268;242;208;0;0
Palencia;Páramo de Boedo;126;72;54;106;98;111;0;0
Palencia;Paredes de Nava;1885;969;916;2,259;2096;1981;0;0
Palencia;Payo de Ojeda;67;39;28;82;75;63;0;0
Palencia;Pedraza de Campos;82;41;41;114;103;96;0;0
Palencia;Pedrosa de la Vega;300;168;132;364;342;347;0;0
Palencia;Perales;87;49;38;108;153;111;0;0
Palencia;Pernía, La;320;189;131;0;0;349;0;0
Palencia;Pino del Río;174;106;68;254;220;192;0;0
Palencia;Piña de Campos;217;109;108;272;255;229;0;0
Palencia;Población de Arroyo;60;32;28;86;74;62;0;0
Palencia;Población de Campos;129;73;56;172;144;135;0;0
Palencia;Población de Cerrato;109;65;44;130;121;112;0;0
Palencia;Polentinos;38;21;17;71;69;55;0;0
Palencia;Pomar de Valdivia;470;260;210;520;513;462;0;0
Palencia;Poza de la Vega;174;101;73;263;234;225;0;0
Palencia;Pozo de Urama;24;16;8;41;32;30;0;0
Palencia;Prádanos de Ojeda;191;102;89;218;214;197;0;0
Palencia;Puebla de Valdavia, La;100;55;45;0;0;109;0;0
Palencia;Quintana del Puente;263;143;120;234;248;277;0;0
Palencia;Quintanilla de Onsoña;179;105;74;211;206;192;0;0
Palencia;Reinoso de Cerrato;53;35;18;71;60;54;0;0
Palencia;Renedo de la Vega;187;103;84;254;232;203;0;0
Palencia;Requena de Campos;18;8;10;39;28;20;0;0
Palencia;Respenda de la Peña;151;89;62;222;202;181;0;0
Palencia;Revenga de Campos;152;79;73;175;154;162;0;0
Palencia;Revilla de Collazos;77;43;34;78;80;86;0;0
Palencia;Ribas de Campos;143;72;71;185;167;166;0;0
Palencia;Riberos de la Cueza;54;34;20;86;69;59;0;0
Palencia;Saldaña;2961;1512;1449;3,115;3039;3121;20824;17609
Palencia;Salinas de Pisuerga;319;168;151;336;376;358;0;0
Palencia;San Cebrián de Campos;415;232;183;471;468;446;0;0
Palencia;San Cebrián de Mudá;156;88;68;181;164;160;0;0
Palencia;San Cristóbal de Boedo;22;14;8;35;27;23;0;0
Palencia;San Mamés de Campos;52;27;25;86;66;53;0;0
Palencia;San Román de la Cuba;61;36;25;112;98;71;0;0
Palencia;Santa Cecilia del Alcor;118;69;49;150;142;129;0;0
Palencia;Santa Cruz de Boedo;48;30;18;52;66;59;0;0
Palencia;Santervás de la Vega;442;253;189;519;517;479;0;0
Palencia;Santibáñez de Ecla;52;29;23;91;81;65;0;0
Palencia;Santibáñez de la Peña;1035;510;525;1,372;1244;1101;0;0
Palencia;Santoyo;189;101;88;253;247;224;0;0
Palencia;Serna, La;96;62;34;0;0;96;0;0
Palencia;Soto de Cerrato;185;106;79;201;190;195;0;0
Palencia;Sotobañado y Priorato;142;83;59;177;164;159;0;0
Palencia;Tabanera de Cerrato;135;72;63;145;118;126;0;0
Palencia;Tabanera de Valdavia;27;16;11;47;40;31;0;0
Palencia;Támara de Campos;67;34;33;90;90;79;0;0
Palencia;Tariego de Cerrato;481;255;226;532;538;526;0;0
Palencia;Torquemada;954;526;428;1,111;1098;1025;18124;1569
Palencia;Torremormojón;44;25;19;72;53;55;0;0
Palencia;Triollo;67;36;31;83;70;60;0;0
Palencia;Valbuena de Pisuerga;47;25;22;65;60;52;0;0
Palencia;Valdeolmillos;57;32;25;81;67;69;0;0
Palencia;Valderrábano;50;27;23;64;56;57;0;0
Palencia;Valde-Ucieza;91;55;36;112;110;108;0;0
Palencia;Valle de Cerrato;90;53;37;112;102;96;0;0
Palencia;Valle del Retortillo;164;98;66;184;174;185;0;0
Palencia;Velilla del Río Carrión;1268;653;615;1,587;1520;1406;0;0
