;;INE PADRON;;;;;;AGENCIA TRIBUTARIA;
PROVINCIA;NOMBRE;POB19;HOMBRES;MUJERES;POB05;POB10;POB15;RENTA_BRUTA_MEDIA;RENTA_BRUTA_DISPONIBLE
Alicante/Alacant;Elche/Elx;232517;115151;117366;215,137;230822;227312;19005;16078
Alicante/Alacant;Elda;52618;25639;26979;55,571;54815;53248;17569;15279
Alicante/Alacant;Facheca;106;52;54;98;107;103;0;0
Alicante/Alacant;Famorca;47;24;23;63;38;52;0;0
Alicante/Alacant;Finestrat;6715;3440;3275;3,797;6386;6239;21515;17981
Alicante/Alacant;Fondó de les Neus, el/Hondón de las Nieves;2544;1306;1238;0;0;2583;0;0
Alicante/Alacant;Formentera del Segura;4191;2105;2086;2,898;4364;4206;0;0
Alicante/Alacant;Gaianes;452;227;225;340;443;457;0;0
Alicante/Alacant;Gata de Gorgos;6049;3082;2967;5,375;6292;5885;0;0
Alicante/Alacant;Gorga;249;140;109;256;256;275;0;0
Alicante/Alacant;Granja de Rocamora;2580;1362;1218;2,099;2372;2425;0;0
Alicante/Alacant;Guardamar del Segura;15348;7492;7856;13,122;16423;15589;0;0
Alicante/Alacant;Hondón de los Frailes;1198;616;582;1,023;1202;1160;0;0
Alicante/Alacant;Ibi;23489;11747;11742;23,059;23861;23321;20415;17108
Alicante/Alacant;Jacarilla;2022;1030;992;1,776;2100;1930;16515;14411
Alicante/Alacant;Jávea/Xàbia;27604;13681;13923;28,242;31909;27681;25331;2071
Alicante/Alacant;Jijona/Xixona;6865;3342;3523;7,494;7407;7205;19802;16803
Alicante/Alacant;Llíber;935;474;461;930;1056;1099;16737;14353
Alicante/Alacant;Lorcha/Orxa, l';578;284;294;0;0;650;0;0
Alicante/Alacant;Millena;237;127;110;178;209;224;0;0
Alicante/Alacant;Monforte del Cid;8165;4292;3873;6,053;7606;7603;0;0
Alicante/Alacant;Monóvar/Monòver;12167;6069;6098;12,727;12928;12381;16898;14476
Alicante/Alacant;Montesinos, Los;4968;2520;2448;0;0;4921;0;0
Alicante/Alacant;Murla;470;220;250;515;629;516;0;0
Alicante/Alacant;Muro de Alcoy;9324;4637;4687;8,148;8961;9167;0;0
Alicante/Alacant;Mutxamel;25352;12662;12690;18,452;23066;24256;26588;21554
Alicante/Alacant;Novelda;25651;12770;12881;26,233;27104;26146;21719;17997
Alicante/Alacant;Nucia, la;18603;9425;9178;0;0;20039;0;0
Alicante/Alacant;Ondara;6894;3460;3434;5,834;6570;6617;16851;14537
Alicante/Alacant;Onil;7507;3757;3750;7,500;7723;7548;18379;15611
Alicante/Alacant;Orba;2174;1074;1100;2,117;2629;2210;17047;1471
Alicante/Alacant;Orihuela;77414;38360;39054;75,009;87113;82675;18844;15966
Alicante/Alacant;Orxeta;736;379;357;718;875;850;0;0
Alicante/Alacant;Parcent;929;446;483;960;1085;997;15519;13546
Alicante/Alacant;Pedreguer;7699;3809;3890;6,733;7603;7337;18753;15946
Alicante/Alacant;Pego;10128;5057;5071;10,781;11208;10331;16876;14551
Alicante/Alacant;Penàguila;292;152;140;354;324;353;0;0
Alicante/Alacant;Petrer;34276;17039;17237;32,388;34634;34586;17377;14791
Alicante/Alacant;Pilar de la Horadada;21905;11236;10669;18,051;22555;21629;0;0
Alicante/Alacant;Pinós, el/Pinoso;7966;4026;3940;0;0;7695;0;0
Alicante/Alacant;Planes;693;375;318;793;850;753;0;0
Alicante/Alacant;Poblets, els;2705;1276;1429;0;0;3303;0;0
Alicante/Alacant;Polop;4965;2541;2424;3,353;4294;4369;19173;16248
Alicante/Alacant;Quatretondeta;122;66;56;150;122;111;0;0
Alicante/Alacant;Rafal;4498;2240;2258;3,770;4181;4167;1524;13391
Alicante/Alacant;Ràfol d'Almúnia, el;653;334;319;532;726;635;0;0
Alicante/Alacant;Redován;7869;4069;3800;6,645;7467;7706;15844;13974
Alicante/Alacant;Relleu;1160;599;561;1,022;1279;1279;1626;14089
Alicante/Alacant;Rojales;16963;8617;8346;13,807;20953;18127;16515;14213
Alicante/Alacant;Romana, la;2434;1263;1171;0;0;2431;0;0
Alicante/Alacant;Sagra;408;198;210;456;465;410;0;0
Alicante/Alacant;Salinas;1601;826;775;1,466;1549;1597;1516;13273
Alicante/Alacant;San Fulgencio;7855;3964;3891;8,197;12144;9021;0;0
Alicante/Alacant;San Isidro;1986;1024;962;1,368;1874;1874;0;0
Alicante/Alacant;San Miguel de Salinas;6034;3044;2990;6,620;8057;6773;0;0
Alicante/Alacant;San Vicente del Raspeig/Sant Vicent del Raspeig;58385;28864;29521;46,034;54088;56302;0;0
Alicante/Alacant;Sanet y Negrals;667;341;326;664;727;674;0;0
Alicante/Alacant;Sant Joan d'Alacant;23915;11538;12377;19,711;22138;22825;0;0
Alicante/Alacant;Santa Pola;32306;16225;16081;25,494;32507;31657;0;0
Alicante/Alacant;Sax;9845;4968;4877;9,399;10099;9696;17202;14775
Alicante/Alacant;Sella;580;306;274;633;649;588;0;0
Alicante/Alacant;Senija;584;302;282;619;661;610;0;0
Alicante/Alacant;Tàrbena;646;335;311;736;801;661;0;0
Alicante/Alacant;Teulada;11112;5541;5571;11,983;14778;11460;19835;16658
Alicante/Alacant;Tibi;1614;851;763;1,485;1745;1656;21164;17834
Alicante/Alacant;Tollos;57;30;27;35;57;52;0;0
Alicante/Alacant;Tormos;340;163;177;328;380;312;0;0
Alicante/Alacant;Torremanzanas/Torre de les Maçanes, la;661;352;309;0;0;746;0;0
Alicante/Alacant;Torrevieja;83337;41269;42068;84,348;101091;88447;19;1633
Alicante/Alacant;Vall d'Alcalà, la;167;92;75;0;0;169;0;0
Alicante/Alacant;Vall de Gallinera;571;304;267;622;662;609;0;0
Alicante/Alacant;Vall de Laguar, la;846;427;419;0;0;826;0;0
Alicante/Alacant;Vall d'Ebo, la;216;111;105;0;0;249;0;0
Alicante/Alacant;Verger, el;4640;2302;2338;0;0;4627;0;0
Alicante/Alacant;Villajoyosa/Vila Joiosa, la;34673;17296;17377;0;0;33878;0;0
Alicante/Alacant;Villena;33964;17056;16908;34,185;34968;34361;18673;15819
Alicante/Alacant;Xaló;2739;1378;1361;0;3269;2675;17244;14871
Almería;Abla;1249;635;614;1,512;1463;1342;14941;13317
Almería;Abrucena;1202;637;565;1,358;1367;1279;13212;11977
Almería;Adra;25148;12833;12315;23,195;24512;24670;16037;13909
Almería;Albanchez;741;379;362;0;0;0;0;0
Almería;Alboloduy;616;302;314;745;667;653;0;0
Almería;Albox;11805;6031;5774;11,271;11042;11429;17675;15121
Almería;Alcolea;825;428;397;966;902;812;0;0
Almería;Alcóntar;505;278;227;647;598;570;0;0
Almería;Alcudia de Monteagud;152;73;79;158;144;168;0;0
Almería;Alhabia;671;351;320;692;718;700;0;0
Almería;Alhama de Almería;3641;1829;1812;3,438;3824;3763;0;0
Almería;Alicún;206;110;96;253;253;220;0;0
Almería;Almería;198533;96995;101538;181,702;190013;194203;24517;20075
Almería;Almócita;169;88;81;167;185;173;0;0
Almería;Alsodux;125;75;50;121;149;138;0;0
Almería;Antas;3182;1614;1568;3,223;3389;3195;16453;14175
Almería;Arboleas;4596;2312;2284;2,819;4731;4670;13507;11987
Almería;Armuña de Almanzora;302;144;158;322;339;332;0;0
Almería;Bacares;246;130;116;291;274;278;0;0
Almería;Balanegra;3009;1583;1426;0;0;0;0;0
Almería;Bayárcal;317;171;146;303;358;336;0;0
Almería;Bayarque;215;102;113;250;233;216;0;0
Almería;Bédar;971;491;480;777;1039;990;0;0
Almería;Beires;110;56;54;126;121;119;0;0
Almería;Benahadux;4382;2160;2222;3,205;4059;4183;17575;15039
Almería;Benitagla;58;32;26;65;84;78;0;0
Almería;Benizalón;254;135;119;308;286;283;0;0
Almería;Bentarique;238;133;105;275;280;258;0;0
Almería;Berja;12415;6293;6122;14,249;15325;15174;16138;14156
Almería;Canjáyar;1214;641;573;1,573;1490;1342;13556;11956
Almería;Cantoria;3204;1625;1579;3,565;4001;3580;16022;1394
Almería;Carboneras;8004;4120;3884;7,267;8123;7838;20802;17438
Almería;Castro de Filabres;123;61;62;163;154;147;0;0
Almería;Chercos;278;142;136;295;287;275;0;0
Almería;Chirivel;1472;748;724;1,849;1852;1604;15774;13744
Almería;Cóbdar;171;99;72;210;165;183;0;0
Almería;Cuevas del Almanzora;14081;7343;6738;11,484;12891;13292;0;0
Almería;Dalías;4006;1988;2018;3,773;3983;3979;15898;13813
Almería;Ejido, El;83594;43596;39998;0;0;85961;0;0
Almería;Enix;466;259;207;322;469;437;0;0
Almería;Felix;628;357;271;534;643;688;0;0
